lat,long,route
23.027714808000002,72.51768499100001,1000D_Karnavati Club to Sardar Patel Airport_NORMAL
23.023076920999998,72.536201534,1000D_Karnavati Club to Sardar Patel Airport_NORMAL
23.022014668,72.544917082,1000D_Karnavati Club to Sardar Patel Airport_NORMAL
23.056753333000003,72.57159,1000D_Karnavati Club to Sardar Patel Airport_NORMAL
23.065822931,72.571688968,1000D_Karnavati Club to Sardar Patel Airport_NORMAL
23.018311605,72.561487123,1000D_Karnavati Club to Sardar Patel Airport_NORMAL
23.066399333000003,72.57173,1000U_Sardar Patel Airport to Karnavati Club_NORMAL
23.022979811,72.536436522,1000U_Sardar Patel Airport to Karnavati Club_NORMAL
23.053162950999997,72.59068377,1000U_Sardar Patel Airport to Karnavati Club_NORMAL
23.027117417,72.508607974,1000U_Sardar Patel Airport to Karnavati Club_NORMAL
23.017767528,72.56798020800001,1000U_Sardar Patel Airport to Karnavati Club_NORMAL
23.026134382,72.524200956,1000U_Sardar Patel Airport to Karnavati Club_NORMAL
23.027111646999998,72.50765935,1000U_Sardar Patel Airport to Karnavati Club_NORMAL
23.027111646999998,72.50765935,1000U_Sardar Patel Airport to Karnavati Club_NORMAL
23.020463329000002,72.505199855,1000U_Sardar Patel Airport to Karnavati Club_NORMAL
23.026170283000003,72.524212712,1000D_Karnavati Club to Sardar Patel Airport_NORMAL
23.026136126,72.52419380100001,1000U_Sardar Patel Airport to Karnavati Club_NORMAL
22.995407359,72.569634237,5U_Vasna - Naroda Gam_NORMAL
22.996220166999997,72.576224726,5U_Vasna - Naroda Gam_NORMAL
22.991919458,72.581340048,5U_Vasna - Naroda Gam_NORMAL
22.995924756999997,72.579179149,1S_Chhipa Society - Maninagar_NORMAL
22.988173731,72.582308268,5U_Vasna - Naroda Gam_NORMAL
22.984217851,72.583810728,5U_Vasna - Naroda Gam_NORMAL
22.984086684,72.58395622,5U_Vasna - Naroda Gam_NORMAL
23.031684114,72.458049941,1U_Ghuma Gam - Maninagar_NORMAL
23.056690833,72.57159,1000D_Karnavati Club to Sardar Patel Airport_NORMAL
22.999960255,72.600599016,1S_Chhipa Society - Maninagar_NORMAL
23.068272,72.581231,3U_R.T.O Circle - Maninagar_NORMAL
23.025720360999998,72.476986911,1D_Maninagar - Ghuma Gam_NORMAL
23.01681333,72.592125075,11D_Odhav Ring Road - M J Library_NORMAL
23.068272,72.581231,3U_R.T.O Circle - Maninagar_NORMAL
23.020041834,72.599359812,8D_Naroda Gam - Iskcon_NORMAL
23.086126993,72.52825512,9U_Sola Bhagwat - Maninagar_NORMAL
22.9959839,72.57295827,5D_Naroda Gam - Vasna_NORMAL
23.036193039,72.639840947,5U_Vasna - Naroda Gam_NORMAL
23.041963713,72.640594889,5U_Vasna - Naroda Gam_NORMAL
22.990754427,72.582244765,5D_Naroda Gam - Vasna_NORMAL
22.99646947,72.578981699,5D_Naroda Gam - Vasna_NORMAL
22.997001556999997,72.578763678,5D_Naroda Gam - Vasna_NORMAL
23.057657958000004,72.549396577,201_R.T.O(Anti-Circular)_NORMAL
23.055004610999998,72.571524325,1000D_Karnavati Club to Sardar Patel Airport_NORMAL
23.031019908,72.44875826,1D_Maninagar - Ghuma Gam_NORMAL
23.002002586,72.549113447,5D_Naroda Gam - Vasna_NORMAL
23.067604110999998,72.574985793,101_R.T.O(Circular)_NORMAL
23.020087315999998,72.633444114,11U_M J Library - Odhav Ring Road_NORMAL
23.002177746999998,72.555476505,5U_Vasna - Naroda Gam_NORMAL
23.077193441,72.619025423,1000U_Sardar Patel Airport to Karnavati Club_NORMAL
23.021355955,72.64377688399999,11U_M J Library - Odhav Ring Road_NORMAL
22.99731797,72.562668013,5U_Vasna - Naroda Gam_NORMAL
23.081992306,72.52668309999999,9S_Bhavsar Hostel - Gota Cross Road_NORMAL
23.082103977,72.52671645,9S_Bhavsar Hostel - Gota Cross Road_NORMAL
23.021975903,72.58045465,8U_Iskcon - Naroda Gam_NORMAL
23.062282518000004,72.5530377,12D_Hatkeshwar - R.T.O Circle_NORMAL
23.071309401,72.603207185,1000D_Karnavati Club to Sardar Patel Airport_NORMAL
